[1] "Accepted theta[1]=3.44e-01, theta[2]=3.95e+00, theta[3]=6.56e-01"
[1] "Accepted theta[1]=3.36e-01, theta[2]=3.96e+00, theta[3]=6.44e-01"
[1] "Accepted theta[1]=3.22e-01, theta[2]=3.93e+00, theta[3]=6.40e-01"
[1] "Accepted theta[1]=3.22e-01, theta[2]=3.94e+00, theta[3]=6.28e-01"
[1] "Rejected theta[1]=3.19e-01, theta[2]=3.94e+00, theta[3]=6.32e-01"
[1] "Rejected theta[1]=3.08e-01, theta[2]=3.93e+00, theta[3]=6.46e-01"
[1] "Accepted theta[1]=3.33e-01, theta[2]=3.94e+00, theta[3]=6.27e-01"
[1] "Accepted theta[1]=3.21e-01, theta[2]=3.94e+00, theta[3]=6.21e-01"
[1] "Rejected theta[1]=3.29e-01, theta[2]=3.93e+00, theta[3]=6.33e-01"
[1] "Rejected theta[1]=3.31e-01, theta[2]=3.95e+00, theta[3]=6.16e-01"
[1] "Rejected theta[1]=2.96e-01, theta[2]=3.95e+00, theta[3]=6.21e-01"
[1] "Accepted theta[1]=3.16e-01, theta[2]=3.94e+00, theta[3]=6.09e-01"
[1] "Accepted theta[1]=3.04e-01, theta[2]=3.94e+00, theta[3]=6.21e-01"
[1] "Rejected theta[1]=3.10e-01, theta[2]=3.93e+00, theta[3]=6.00e-01"
[1] "Accepted theta[1]=3.09e-01, theta[2]=3.94e+00, theta[3]=6.07e-01"
[1] "Rejected theta[1]=2.97e-01, theta[2]=3.95e+00, theta[3]=6.18e-01"
[1] "Rejected theta[1]=2.94e-01, theta[2]=3.93e+00, theta[3]=6.19e-01"
[1] "Accepted theta[1]=3.14e-01, theta[2]=3.95e+00, theta[3]=6.12e-01"
[1] "Accepted theta[1]=3.08e-01, theta[2]=3.96e+00, theta[3]=6.14e-01"
[1] "Rejected theta[1]=3.13e-01, theta[2]=3.97e+00, theta[3]=6.18e-01"
[1] "Rejected theta[1]=3.04e-01, theta[2]=3.94e+00, theta[3]=5.82e-01"
[1] "Accepted theta[1]=2.90e-01, theta[2]=3.96e+00, theta[3]=5.97e-01"
[1] "Rejected theta[1]=2.96e-01, theta[2]=3.96e+00, theta[3]=5.81e-01"
[1] "Accepted theta[1]=2.76e-01, theta[2]=3.94e+00, theta[3]=5.90e-01"
[1] "Accepted theta[1]=2.66e-01, theta[2]=3.94e+00, theta[3]=5.73e-01"
[1] "Accepted theta[1]=2.64e-01, theta[2]=3.96e+00, theta[3]=5.67e-01"
[1] "Rejected theta[1]=2.43e-01, theta[2]=3.98e+00, theta[3]=5.53e-01"
[1] "Rejected theta[1]=2.69e-01, theta[2]=3.97e+00, theta[3]=5.50e-01"
[1] "Rejected theta[1]=2.70e-01, theta[2]=3.98e+00, theta[3]=5.73e-01"
[1] "Rejected theta[1]=2.62e-01, theta[2]=3.97e+00, theta[3]=5.54e-01"
[1] "Rejected theta[1]=2.81e-01, theta[2]=3.97e+00, theta[3]=5.53e-01"
[1] "Rejected theta[1]=2.71e-01, theta[2]=3.96e+00, theta[3]=5.44e-01"
[1] "Accepted theta[1]=2.49e-01, theta[2]=3.97e+00, theta[3]=5.59e-01"
[1] "Rejected theta[1]=2.63e-01, theta[2]=3.97e+00, theta[3]=5.48e-01"
[1] "Accepted theta[1]=2.46e-01, theta[2]=3.98e+00, theta[3]=5.49e-01"
[1] "Accepted theta[1]=2.47e-01, theta[2]=3.99e+00, theta[3]=5.54e-01"
[1] "Rejected theta[1]=2.43e-01, theta[2]=3.98e+00, theta[3]=5.66e-01"
[1] "Rejected theta[1]=2.66e-01, theta[2]=3.98e+00, theta[3]=5.75e-01"
[1] "Accepted theta[1]=2.49e-01, theta[2]=3.99e+00, theta[3]=5.48e-01"
[1] "Rejected theta[1]=2.48e-01, theta[2]=3.99e+00, theta[3]=5.31e-01"
[1] "Accepted theta[1]=2.48e-01, theta[2]=3.99e+00, theta[3]=5.58e-01"
[1] "Accepted theta[1]=2.58e-01, theta[2]=3.99e+00, theta[3]=5.59e-01"
[1] "Accepted theta[1]=2.59e-01, theta[2]=3.99e+00, theta[3]=5.68e-01"
[1] "Rejected theta[1]=2.38e-01, theta[2]=3.97e+00, theta[3]=5.70e-01"
[1] "Accepted theta[1]=2.59e-01, theta[2]=3.98e+00, theta[3]=5.60e-01"
[1] "Accepted theta[1]=2.56e-01, theta[2]=3.99e+00, theta[3]=5.54e-01"
[1] "Rejected theta[1]=2.31e-01, theta[2]=3.99e+00, theta[3]=5.58e-01"
[1] "Accepted theta[1]=2.59e-01, theta[2]=3.99e+00, theta[3]=5.71e-01"
[1] "Accepted theta[1]=2.63e-01, theta[2]=3.99e+00, theta[3]=5.68e-01"
[1] "Accepted theta[1]=2.56e-01, theta[2]=3.98e+00, theta[3]=5.55e-01"
[1] "Rejected theta[1]=2.64e-01, theta[2]=4.00e+00, theta[3]=5.46e-01"
[1] "Rejected theta[1]=2.37e-01, theta[2]=3.99e+00, theta[3]=5.68e-01"
[1] "Rejected theta[1]=2.58e-01, theta[2]=3.98e+00, theta[3]=5.40e-01"
[1] "Rejected theta[1]=2.41e-01, theta[2]=3.98e+00, theta[3]=5.54e-01"
[1] "Accepted theta[1]=2.50e-01, theta[2]=4.00e+00, theta[3]=5.53e-01"
[1] "Rejected theta[1]=2.41e-01, theta[2]=3.99e+00, theta[3]=5.53e-01"
[1] "Accepted theta[1]=2.49e-01, theta[2]=3.97e+00, theta[3]=5.55e-01"
