"Timestamp", "close", "high", "low", "open", "volume"
1462368621,690.3600,690.5700,690.2000,690.3600,59700
1462368671,690.9200,691.3100,690.7700,691.0300,4400
1462368721,691.9200,692.0000,691.0050,691.2900,10800
1462368780,692.0000,692.2725,691.2200,692.2150,8800
1462368876,691.8100,691.8100,691.6029,691.7808,900
1462368902,691.5500,692.2200,691.4800,691.9200,10300
1462368960,691.9200,692.0800,691.5800,691.9900,9800
1462369026,692.0000,692.0700,691.1300,691.7700,12600
1462369139,692.0000,692.3100,691.5900,692.3100,23900
1462369140,691.6700,692.2200,691.4000,691.8600,12900
1462369200,692.1500,692.2300,691.0500,691.5300,5700
1462369265,691.5800,692.2100,691.5650,692.2100,5200
1462369321,691.4400,691.4400,690.6600,691.4300,6900
1462369437,690.5562,691.3550,690.3700,691.1100,4000
1462369440,690.4825,690.6150,690.0000,690.6150,9200
1462369501,690.3264,690.5800,690.0620,690.2800,3400
1462369560,689.8800,690.5679,689.8800,690.5679,5800
1462369622,689.3300,689.8728,689.1000,689.8200,5400
1462369682,690.2623,690.2623,689.3400,689.3500,5300
1462369743,690.4900,690.4900,689.9300,690.1550,5500
1462369805,691.3100,691.4457,689.7100,690.2600,10000
1462369861,691.0400,691.8300,691.0400,691.4600,6200
1462369926,691.7300,692.0800,691.2120,691.2800,6900
1462369995,692.0300,692.3300,691.8200,691.8200,4900
1462370044,692.1050,692.5200,691.8430,692.0100,8100
1462370103,692.5260,692.6900,691.8100,692.4960,9000
1462370160,692.9800,693.0000,692.2350,692.3900,7800
1462370231,693.1700,693.8500,692.8760,692.9800,6000
1462370281,693.4500,693.7987,693.0600,693.3500,3900
1462370356,693.4200,693.4500,692.9700,693.4400,1400
1462370400,693.0000,693.9400,692.7600,693.2350,8100
1462370468,693.4325,693.6700,693.0200,693.3900,3200
1462370523,694.0400,694.0400,692.8750,693.3708,13000
1462370590,694.4600,694.4600,694.0100,694.1900,2500
1462370640,694.6150,695.0000,694.2600,694.5000,15100
1462370702,694.7388,694.9468,694.2800,694.9468,6400
1462370762,694.2100,694.8000,694.2100,694.5600,5500
1462370824,693.6200,694.4893,693.6200,694.4893,7400
1462370906,693.4600,693.8000,693.4600,693.7000,2300
1462370942,693.5000,693.7350,693.4200,693.5100,5400
1462371004,694.1800,694.4300,693.6700,693.7100,8600
1462371074,694.4500,694.8300,694.1550,694.1650,8900
1462371126,693.8600,694.6000,693.8600,694.5400,2900
1462371189,693.9700,694.0100,693.7600,693.8100,2800
1462371251,694.2000,694.3300,694.1500,694.1500,3000
1462371310,694.7900,694.7900,694.3282,694.3282,900
1462371360,694.9500,694.9500,694.5950,694.5950,6500
1462371429,694.7650,694.9800,694.6000,694.9000,5100
1462371482,694.5400,694.7500,694.2720,694.7000,3500
1462371546,694.7700,694.7700,694.1100,694.6550,9700
1462371607,694.5300,694.9100,694.3400,694.7100,5200
1462371664,694.9400,694.9400,694.5400,694.5400,1700
1462371735,695.1100,695.2600,694.6300,694.8694,6100
1462371830,695.1885,695.4200,694.9500,694.9500,5600
1462371845,695.3550,695.5000,694.9000,694.9000,5100
1462371901,694.9650,695.1700,694.5800,695.1030,4600
1462371971,694.7900,695.1000,694.7300,694.7500,6000
1462372022,694.9500,695.1300,694.7500,694.7900,3000
1462372116,694.7500,694.9300,694.7500,694.9300,1600
1462372146,695.0900,695.0900,694.7500,694.7500,4600
1462372200,694.9600,694.9600,694.5426,694.9400,7600
1462372304,695.4900,695.4900,695.1400,695.1400,2700
1462372348,695.6500,695.7200,695.4400,695.5500,3800
1462372437,696.0560,696.4600,695.6500,695.6500,13600
1462372442,696.3800,696.3800,695.9362,695.9362,1800
1462372500,696.7450,696.9300,696.1400,696.2450,6300
1462372561,697.1650,697.4600,696.6600,696.7350,12300
1462372620,697.0500,697.4500,696.8900,697.1700,5000
1462372688,696.8400,697.3000,696.5150,697.0400,4800
1462372750,696.7800,696.7800,695.9312,696.7100,3000
1462372859,696.3725,696.7790,696.2200,696.7790,2500
1462372866,696.2200,696.4050,695.9100,696.2400,2200
1462372925,696.0500,696.3000,695.6700,696.1100,4200
1462372990,696.1850,696.4700,695.5600,695.8050,4700
1462373046,696.2400,696.5600,696.1400,696.1900,3800
1462373109,696.0400,696.4500,695.9900,696.2738,2900
1462373172,696.8200,696.8200,696.1600,696.1600,1500
1462373229,696.7700,696.8400,696.3700,696.4700,3300
1462373298,696.7300,696.7300,696.5100,696.5100,1300
1462373340,696.3200,696.9400,696.3200,696.5601,6200
1462373415,696.3900,696.7000,696.3900,696.6600,2500
1462373463,696.0900,696.2100,695.9900,696.0000,1400
1462373530,696.4600,696.4600,696.0300,696.3300,4700
1462373582,696.4050,696.8100,696.1300,696.1550,13800
1462373640,697.1000,697.1200,696.4600,696.6000,5900
1462373718,697.1750,697.2900,696.8800,697.1100,4500
1462373763,697.3700,697.4600,696.9800,697.0400,5400
1462373823,697.8100,697.8100,696.9801,697.4225,4700
1462373881,697.2800,697.9000,697.2800,697.9000,4200
1462373943,697.9700,697.9700,697.3200,697.3200,5700
1462374016,697.6000,697.8850,697.3735,697.6000,4200
1462374064,697.1400,698.0000,697.1400,697.7400,7400
1462374136,697.4850,697.6400,697.4100,697.4100,2200
1462374192,697.6400,697.8010,697.3600,697.4900,1800
1462374272,698.0675,698.1000,697.7200,697.7400,2500
1462374300,698.7650,698.8600,698.0300,698.3000,8700
1462374362,698.9500,699.3900,698.7500,698.7500,4800
1462374421,698.9399,699.2060,698.7300,698.9500,4200
1462374501,698.3692,698.9643,698.3692,698.8800,2700
1462374563,698.2100,698.3200,698.1700,698.2700,2000
1462374600,697.9550,698.2800,697.6900,698.1700,2100
1462374678,698.0000,698.1800,698.0000,698.0450,1600
1462374764,697.9300,697.9300,697.6950,697.9150,1000
1462374838,698.1200,698.4800,697.9600,698.1400,3800
1462374841,698.1943,698.5600,698.0200,698.3550,2200
1462374956,697.7300,698.5100,697.7300,698.2850,2800
1462374967,696.9999,697.4400,696.3356,697.4400,17300
1462375021,696.7400,697.0500,696.4000,696.7426,10800
1462375084,696.8000,697.0700,696.8000,696.8572,1200
1462375155,697.3365,697.3365,697.0400,697.0400,1700
1462375200,697.4300,697.5400,697.2150,697.2150,5500
1462375266,696.9500,697.3700,696.9500,697.2700,2200
1462375342,697.0900,697.1400,697.0600,697.0600,1000
1462375425,697.1300,697.1400,696.9950,697.0100,1400
1462375449,697.2100,697.3250,696.9000,696.9000,2700
1462375507,697.2000,697.2100,697.0200,697.1700,3300
1462375573,697.4000,697.4000,696.8400,696.9200,2200
1462375625,696.8800,697.0000,696.8800,697.0000,2000
1462375681,695.9900,696.8500,695.9900,696.7200,3300
1462375741,696.7200,696.7200,695.9000,695.9000,7400
1462375828,696.0900,696.4100,696.0800,696.2701,3700
1462375863,696.2500,696.2500,695.8100,695.8100,4500
1462375977,696.2891,696.2891,696.2891,696.2891,100
1462375980,696.3800,696.3800,696.3800,696.3800,200
1462376045,696.5260,696.5260,696.2350,696.2350,900
1462376101,697.1726,697.5300,696.6200,696.6200,4800
1462376162,697.3400,697.5400,697.0000,697.2000,5900
1462376249,697.0100,697.1200,696.7800,697.1200,3000
