"Date", "Close", "High", "Low", "Open", "Volume"
0,748.25,750.43,746.97,749.25,112693
1,750.02,750.85,747.92,748.315,122151
2,749.3925,750.35,748.54,750,116827
3,747.2,749.65,746.69,749.48,110815
4,743.35,747.35,743.03,747.2,170539
5,743.47,744.32,740.94,743.34,129274
6,744.95,746.31,743.12,743.535,365302
24,741.77,742.4,737,738.6,181967
25,745.55,745.92,740.615,741.77,169464
26,747.2,748.98,744.54,745.55,126266
27,747.59,747.92,744.01,747.44,101048
28,747.25,748.7264,746.83,747.1,65681
29,748.61,749,746.75,747.66,125425
30,749.91,750.34,747.8,748.65,316730
96,748.87,752.8,747.05,750.06,140149
97,744.05,749.42,744.035,749,128849
98,743.209,744.74,742.43,744,111245
99,745.57,746.97,742.45,742.65,59300
100,744.08,746.72,744.08,745.44,37027
101,743.065,744.39,742.7,744.3106,47638
102,745.29,745.31,742.75,743.06,256565
120,737.93,742.8,735.37,738,168296
121,738.021,741.72,737.005,737.67,141599
122,738.12,740.9699,737.41,737.59,103559
123,737.81,739.45,736.34,738.1,101948
124,739.94,741,737.7,738.03,37651
125,741.01,741.15,738.44,739.65,64271
126,737.8,741.029,737,741.01,131156
144,741.533,742.94,735.56,735.77,109051
145,741.07,742.2,737.16,741.33,94547
146,742.82,743.7453,740.6805,740.97,103992
147,741.26,743.61,741.26,743.08,67598
148,742.0001,743.38,741.05,741.05,47814
149,742.73,742.94,740.79,742.38,54521
150,745.69,746.24,742.44,742.98,242907
168,744.32,746.9999,743.7,745.37,183986
169,739.1,745.96,738.99,744.64,128804
170,742.41,742.52,738.82,739.2999,107276
171,741.66,742.605,739.5,742.41,111582
172,738.1,743.37,738.1,741.65,48442
173,736.97,738.53,736.28,738,110761
174,740.28,740.6,736.51,736.65,335994
192,743.3,745.45,740.03,743.97,171858
193,739.97,745.3,739,743.63,152455
194,738.35,741.37,735.64,739.865,141934
195,738.23,738.79,735.7,738.27,73072
196,738.0375,738.5,735.55,738.24,49772
197,737.6,739.33,736.76,738.07,59276
