"Date", "Close", "High", "Low", "Open", "Volume"
162, 710.5, 711.57, 710.5, 710.99, 15448
163, 711.3, 711.49, 710.45, 710.7, 7145
164, 710.65, 711.56, 710.28, 711.3724, 14515
165, 710.71, 711.258, 710.37, 710.42, 7305
166, 712, 712.06, 710.99, 710.99, 10988
167, 711.05, 711.84, 710.25, 711.77, 25916
168, 710.2, 711.05, 709.79, 711.05, 23541
169, 711.64, 711.66, 710.23, 710.25, 36393
170, 712.39, 712.72, 711.4, 711.71, 31099
171, 711.47, 713.32, 711.17, 712.4, 46883
172, 711.5464, 711.82, 710.75, 711.47, 16047
173, 712.95, 713.13, 711.8467, 711.873, 22395
174, 712.15, 713, 711.6, 712.9, 32866
175, 710.95, 712.105, 710.85, 712.105, 11200
176, 711.34, 711.34, 710.65, 710.99, 13834
177, 710.82, 711.998, 710.6832, 711.64, 18519
178, 710.9, 712.58, 710.7, 710.8, 20447
179, 710.51, 711.4, 710.51, 711, 19234
180, 711.28, 711.49, 710.38, 710.5, 32388
181, 711.4, 711.6, 710.7901, 711.25, 25906
182, 712.1225, 712.18, 711.12, 711.2401, 35126
183, 712.42, 712.44, 711.6, 712.22, 143193
288, 714, 714.99, 713.375, 714.99, 21200
289, 710.4716, 716.49, 709.8, 714, 85792
290, 710.05, 710.59, 708.23, 710.03, 56622
291, 708.045, 710.15, 706.02, 710.0113, 71740
292, 707.83, 708.52, 706.1, 708.2999, 22074
293, 707.7, 708.23, 706.61, 707.9, 28222
294, 707.8, 708.77, 706.52, 707.87, 31075
295, 708.42, 709, 707.7, 707.97, 31313
296, 708.385, 708.61, 707, 708.33, 39217
297, 707.51, 708.57, 707.33, 708.32, 24103
298, 709.05, 709.62, 707.47, 707.78, 32098
299, 710.65, 711.28, 709.052, 709.38, 58447
300, 711.8592, 712.05, 710.86, 710.97, 33884
301, 710.35, 712.5, 710.1941, 711.86, 31360
302, 709.3055, 710.862, 709.25, 710.5761, 22619
303, 709.42, 710.24, 708.61, 709.55, 17200
304, 709.66, 709.97, 709.28, 709.74, 17010
305, 709.6, 710.21, 708.76, 709.86, 11605
306, 709.52, 709.89, 709.05, 709.64, 16569
307, 709.1, 710.136, 708.89, 709.56, 21045
308, 709.06, 709.33, 708.74, 709.33, 11020
309, 709.735, 710.4999, 709.18, 709.18, 9179
310, 709.49, 710.5, 709.21, 709.64, 24071
311, 709.84, 710.1, 709.02, 709.39, 21875
312, 710.899, 710.899, 709.52, 709.8, 17016
313, 712.045, 712.4151, 710.29, 710.8, 23426
314, 713.53, 713.55, 712.17, 712.17, 36821
315, 714.62, 714.81, 713.35, 713.57, 50724
316, 714.93, 715.69, 714.53, 714.8, 47709
317, 712.78, 714.9, 712.78, 714.9, 28434
318, 712.495, 713.24, 711.39, 712.3, 16030
319, 710.85, 712.11, 710.08, 712.11, 37377
320, 710.87, 710.88, 710.14, 710.22, 8903
321, 709.59, 710.9, 708.66, 710.86, 35439
322, 710.39, 710.39, 708.65, 709.69, 23121
323, 710.44, 710.44, 709.32, 710.1, 27772
324, 711.82, 712.19, 709.95, 710.39, 29907
325, 710.85, 712.0168, 710.5, 712.0168, 15853
326, 710.99, 712.1, 710.69, 710.77, 25942
327, 710.89, 711.74, 709.71, 710.98, 127892
720, 706.24, 706.9, 706.23, 706.9, 14679
721, 703.28, 708.0912, 702.2, 705.97, 104959
722, 701.45, 704, 701.45, 703.22, 55346
723, 698.99, 701.98, 698.89, 701.98, 90988
724, 701.79, 702.3295, 698.55, 698.99, 67897
725, 700.84, 701.6683, 698.5719, 701.31, 45279
726, 697.85, 701.17, 697.7, 701.02, 38308
727, 697.82, 698.96, 697.2, 698.13, 45505
728, 699.55, 699.75, 697.53, 697.91, 43816
729, 699.01, 700.99, 698.25, 699.2, 29561
730, 698.15, 699.34, 697.7, 698.94, 20032
731, 699.1899, 700.3, 698.195, 698.2898, 31646
732, 699.6946, 700.36, 698.73, 698.91, 40408
733, 701.16, 701.16, 699.18, 699.9, 36991
734, 703.33, 703.42, 700.54, 701.15, 45417
735, 701.5501, 703.36, 701.505, 703.33, 35735
736, 700.6801, 702.185, 700.6801, 701.6, 15023
737, 699.1, 700.92, 699, 700.635, 28145
738, 699.78, 700.04, 698.7972, 699.18, 19545
739, 699.104, 700.1799, 698.9, 699.94, 18584
740, 699.45, 700.16, 698.83, 699.045, 28976
741, 698.43, 699.65, 698.28, 699.5, 20191
742, 698.7101, 699.14, 698.38, 698.78, 12361
743, 699.43, 699.9, 698.855, 698.98, 14166
744, 697.4599, 699.569, 697, 699.569, 28985
745, 695.13, 697.29, 694.71, 697.28, 75092
746, 694.0468, 695.36, 693.3, 695.36, 40017
747, 691.25, 694.4352, 691.25, 694.295, 67538
748, 691.69, 693, 690.31, 691.365, 53977
749, 690.6486, 692.54, 690.34, 691.68, 44399
750, 688.795, 691, 688.57, 690.52, 65014
751, 688, 690, 686.9, 688.89, 53489
752, 689.08, 689.98, 687.399, 688.16, 49413
753, 689.14, 689.95, 688.76, 689.2, 34821
754, 688.76, 689.325, 687, 689.325, 63527
755, 692.745, 692.745, 688.97, 688.97, 63157
756, 694.02, 694.65, 692.46, 692.7, 64126
757, 697.3, 697.59, 694.02, 694.2, 70197
758, 693.755, 697.37, 693.202, 697.36, 73897
759, 695.16, 695.31, 693.45, 693.93, 252743
864, 688.59, 689.15, 688.58, 688.59, 23070
865, 686.43, 692.8, 685.34, 688.75, 125590
866, 698.9999, 699.36, 685.475, 686.01, 119064
867, 696.89, 701.18, 695.59, 698.62, 104202
868, 696.27, 700.68, 695.7901, 696.25, 39163
869, 696.51, 699.5, 696.12, 696.6234, 28265
870, 695.9199, 699.11, 695.18, 696.5, 22450
871, 697.6241, 698.42, 694.88, 695.21, 24340
872, 696.78, 697.8, 695.64, 697.49, 18249
873, 698.49, 699.12, 696.8801, 697.3499, 22014
874, 698.33, 699.5, 697.95, 698.49, 33435
875, 698.21, 698.88, 697.66, 698.6141, 16011
876, 699.64, 700.49, 697.11, 698.21, 36451
877, 699.15, 700.25, 697.74, 699.59, 29576
878, 701.7191, 702.1, 698.94, 699.12, 41977
879, 703.1875, 703.79, 701.73, 701.86, 53822
880, 702.7, 703.72, 702.05, 703.375, 24808
881, 702.16, 702.95, 700.62, 702.58, 17208
882, 700.63, 702.498, 700.35, 702.29, 12787
883, 700.52, 700.93, 699.37, 700.67, 11488
884, 701.06, 701.06, 699.67, 700.5, 7903
885, 700.5, 701.12, 699.27, 700.67, 23726
886, 700.3411, 700.74, 699.59, 700.58, 6390
887, 699.02, 700.03, 698.6801, 700.03, 10125
888, 701, 701.59, 699.06, 699.24, 22438
889, 701.6, 702.24, 701, 701, 8556
890, 701.3, 701.5531, 700.67, 701.28, 9160
891, 700.88, 701.6, 700.7, 701.43, 14304
892, 700.75, 701.19, 699.6, 700.64, 12805
893, 700.39, 701.45, 698.59, 700.78, 15792
894, 699.37, 701, 699.04, 700.76, 20574
895, 696.625, 700.025, 696.44, 699.48, 39244
896, 696.52, 698.815, 696.02, 696.54, 19004
897, 696.235, 696.62, 695.3, 696.29, 25222
898, 695.32, 696.75, 695.14, 696.02, 21241
899, 693.61, 695.8, 693.41, 695.23, 31372
900, 694.12, 694.74, 693.1, 693.76, 29583
901, 693.5, 695, 693.4755, 694.29, 28484
902, 693.37, 694.87, 692.78, 693.688, 56933
903, 693.97, 694.42, 691.2, 693.25, 164750
0, 697.91, 698.47, 697.91, 698.47, 11387
1, 696.86, 700.2, 694, 698.1, 73727
2, 698.2063, 699, 696.0882, 697.085, 28242
3, 698.96, 699, 695.87, 698.53, 31185
4, 701.59, 702.31, 698.58, 698.58, 39440
5, 701.5954, 703.35, 701.43, 701.5, 31750
6, 703.44, 704.18, 701.31, 701.55, 29586
7, 705, 705.68, 702.325, 703.54, 26785
8, 702.46, 704.801, 702.46, 704.204, 17895
9, 700.455, 702.48, 699.18, 702.41, 24086
10, 703.29, 703.35, 700.74, 700.74, 22532
11, 701.27, 703, 701, 702.7615, 8038
12, 702.06, 702.335, 700.84, 702.09, 14311
13, 701.62, 703.67, 701.62, 702.28, 11794
14, 702.1927, 703, 701.5, 701.62, 11867
15, 703.495, 703.5, 701.775, 701.85, 9368
16, 703.14, 703.5, 702.57, 703.1376, 10248
17, 701.6701, 703.14, 701.07, 703.14, 8362
18, 702.53, 703.2191, 701.38, 701.76, 8681
19, 702.53, 702.9229, 701.82, 702.48, 12982
20, 700.42, 702.48, 700, 702.48, 13885
21, 701.26, 701.46, 699.91, 700.5199, 11749
22, 701.7, 702.2, 700.8, 700.9, 21411
23, 701.5518, 702.7699, 701.18, 701.7, 11337
24, 701.96, 702.9, 701.23, 701.39, 27390
25, 702.25, 702.71, 701.6, 701.9, 7146
26, 703.5, 703.5, 702.0727, 702.5, 9914
27, 704.0301, 704.915, 703.08, 703.6, 18068
28, 705, 705.2, 703.9378, 704.25, 13893
29, 704.68, 705.29, 704.0122, 705.08, 13132
30, 704.59, 705.25, 703.67, 704.99, 16401
31, 703.08, 704.52, 702.7257, 704.52, 15104
32, 703.65, 703.87, 702.78, 703, 17802
33, 703.9, 704.68, 702.69, 703.63, 10608
34, 703.3, 704.7297, 703.16, 703.7, 23131
35, 702.19, 703.85, 701.8, 703.3, 27900
36, 702.8075, 703.43, 701.622, 701.97, 33950
37, 703.16, 703.75, 702.0903, 702.652, 16597
38, 703.97, 704.1, 702.82, 703.255, 42230
39, 705.24, 705.25, 703.38, 703.99, 135362
144, 708.85, 708.85, 708.12, 708.12, 13770
145, 712.42, 713, 703.36, 708, 138447
146, 713.22, 713.73, 709.972, 712.2, 88155
147, 715.45, 715.85, 711.7, 712.8601, 84716
148, 714.97, 715.62, 714.5, 715.06, 53028
149, 715.57, 716.44, 713.33, 715, 62470
150, 714.397, 715.99, 714.397, 715.61, 50450
151, 709.88, 715, 707, 715, 78109
152, 711.64, 713.1, 709.11, 709.11, 31134
153, 709.39, 712.81, 709, 711.46, 24629
154, 710.7765, 711.26, 707.041, 709.64, 57642
155, 710.61, 713.31, 710.1, 710.31, 73598
156, 707.8, 710.32, 706.4416, 710.2, 100868
157, 710.21, 710.85, 707.356, 707.91, 38011
158, 711.325, 711.61, 710.01, 710.66, 23790
159, 711.37, 712.32, 710.33, 711.1, 29225
160, 712.0824, 712.53, 710.95, 711, 28082
161, 710.865, 712.29, 710.62, 711.88, 33965
162, 711.56, 711.69, 710.36, 711.21, 36786
163, 708.42, 711.97, 707.321, 711.23, 58177
164, 708.19, 709.23, 707, 708.33, 37712
165, 708.89, 709.18, 707.25, 708.1424, 25764
166, 706.4, 709.46, 706.23, 708.57, 32120
167, 707, 707, 704.9, 706.44, 50122
168, 708.331, 708.84, 705.99, 706.92, 32741
169, 707.185, 708.9381, 706.39, 708.21, 19784
170, 707.13, 707.52, 706.04, 707.52, 19188
171, 706.9, 708.6851, 706.836, 707.12, 14786
172, 706.57, 707.87, 706.22, 706.71, 14100
173, 709.13, 709.52, 706, 706.416, 35939
174, 711.2075, 712.18, 708.48, 708.97, 45907
175, 711.66, 712.18, 710.07, 711.06, 35744
176, 713.27, 714.72, 711.84, 712.03, 69461
177, 712.0894, 713.99, 712, 713.07, 24835
178, 712.6, 712.94, 711.19, 712.17, 22696
179, 714.33, 715, 712.085, 712.8, 37449
180, 714.99, 715.64, 712.14, 713.95, 53434
181, 713.47, 715, 712.69, 715, 61602
182, 712.5, 714.13, 712.5, 713.29, 59605
183, 712.82, 713.64, 712.1501, 712.5, 151920
288, 720.22, 720.24, 720, 720, 26683
289, 720.4333, 721.12, 717.125, 720.27, 77784
290, 720.6, 721.39, 719.24, 720.34, 36816
291, 721.49, 723.02, 720.57, 721, 51390
292, 719.29, 722.45, 718.72, 721.68, 38765
293, 721.572, 721.76, 719.05, 719.31, 37880
294, 722, 722.58, 720.93, 721.68, 63221
295, 722.92, 723.91, 722.07, 722.07, 51712
296, 724, 724.21, 722.9, 723.14, 37645
297, 721.8021, 723.9721, 721.21, 723.79, 29624
298, 722.78, 723.2299, 721.595, 721.74, 23707
299, 723.13, 723.35, 722.45, 722.91, 13818
300, 722.7865, 723.25, 722.05, 723.21, 17301
301, 722.31, 723.23, 722, 722.96, 16429
302, 722.218, 722.79, 721.41, 722.465, 11951
303, 721.77, 722.07, 721.33, 722.045, 20974
304, 722.15, 722.56, 721.52, 721.795, 18771
305, 721.74, 722.42, 721.65, 722.28, 13687
306, 721.83, 722.1, 721.35, 721.682, 13960
307, 722.59, 722.66, 721.825, 721.9, 20451
308, 722.55, 723.09, 722.2, 722.53, 25342
309, 722.3314, 723.13, 722.04, 722.685, 11383
310, 721.5056, 722.56, 721.35, 722.4293, 13671
311, 722.0338, 722.41, 721.6, 721.83, 10192
312, 722.6371, 722.828, 721.95, 722.26, 5846
313, 722.32, 722.8285, 722.04, 722.64, 14314
314, 722.7, 722.75, 722, 722.26, 13471
315, 723.3601, 723.51, 722.63, 722.72, 36841
316, 723.55, 723.9, 723.28, 723.46, 17877
317, 723.45, 723.83, 723.14, 723.6, 11251
318, 723.96, 724.1, 723.49, 723.51, 16708
319, 723.35, 724.14, 723.35, 723.725, 25558
320, 723.88, 724.39, 723.22, 723.41, 36085
321, 724.6, 724.6, 723.92, 723.94, 31167
322, 725.71, 725.72, 724.31, 724.32, 57536
323, 725.3501, 725.84, 725, 725.71, 35545
324, 726.49, 726.53, 725.455, 725.47, 55746
325, 726.11, 726.34, 725.62, 726.34, 49849
326, 726.09, 726.59, 725.67, 726.11, 38756
327, 726.82, 726.92, 725.885, 725.92, 209004
714, 726.6, 726.81, 726.4, 726.81, 17695
715, 729.808, 730.9448, 725.15, 726.71, 98015
716, 729.3964, 730.0621, 727.24, 730.0621, 37011
717, 727.83, 731.265, 727.83, 729.26, 46485
718, 728.92, 729.78, 727.83, 728.45, 23024
719, 730.51, 730.58, 727.502, 728.5101, 27517
720, 730.64, 731, 729.02, 730.6, 26757
721, 729.52, 731.58, 729.52, 730.77, 36562
722, 730.68, 731.23, 729.89, 729.89, 24709
723, 731.0508, 731.46, 730.33, 730.9899, 26751
724, 730.81, 732, 730.58, 731.05, 24990
725, 732.87, 733.65, 730.77, 730.84, 32773
726, 731.63, 733.2, 731.53, 733, 35309
727, 732, 732.2, 730.84, 731.6, 15310
728, 732.1, 732.77, 731.13, 731.8915, 10547
729, 732.53, 733.18, 731.7401, 732.095, 18187
730, 733.03, 733.5, 732.69, 732.72, 12470
